:START_ID(Reach),:END_ID(Reach),:Type
170501160705,170501161401,Downstream
170501160801,170501160802,Downstream
170501160802,170501160803,Downstream
170501160803,170501160804,Downstream
170501160804,170501160806,Downstream
170501160805,170501160806,Downstream
170501160806,170501161002,Downstream
170501160901,170501160904,Downstream
170501160902,170501160904,Downstream
170501160903,170501160904,Downstream
170501160904,170501161002,Downstream
170501161001,170501161002,Downstream
170501161002,170501161004,Downstream
170501161003,170501161004,Downstream
170501161004,170501161008,Downstream
170501161005,170501161007,Downstream
170501161006,170501161007,Downstream
170501041601,170501041602,Downstream
170501041602,170501041604,Downstream
170501041603,170501041604,Downstream
170501041604,170501041605,Downstream
170501041605,170501041702,Downstream
170501041701,170501041702,Downstream
170501041702,170501041705,Downstream
170501041703,170501041704,Downstream
170501041704,170501041705,Downstream
170501041705,170501070501,Downstream
170501050905,170501050908,Downstream
170501050906,170501050908,Downstream
170501050908,170501070501,Downstream
170501060605,170501050908,Downstream
170501070401,170501070403,Downstream
170501070402,170501070403,Downstream
170501080101,170501080103,Downstream
170501080102,170501080103,Downstream
170501080103,170501080105,Downstream
170501080104,170501080105,Downstream
170501080105,170501080202,Downstream
170501080201,170501080202,Downstream
170501080202,170501080205,Downstream
170501080203,170501080204,Downstream
170501080204,170501080205,Downstream
170501080205,170501080401,Downstream
170501080301,170501080303,Downstream
170501080302,170501080303,Downstream
170501080303,170501080401,Downstream
170501080401,170501080405,Downstream
170501080402,170501080405,Downstream
170502010505,170502010701,Downstream
170501020701,170501020702,Downstream
170501040303,170501040304,Downstream
170501040604,170501040701,Downstream
170501040701,170501040705,Downstream
170501040702,170501040705,Downstream
170501040705,170501041202,Downstream
170501040801,170501040802,Downstream
170501050602,170501050605,Downstream
170501050901,170501050902,Downstream
170501050902,170501050903,Downstream
170501050903,170501050905,Downstream
170501050904,170501050905,Downstream
170501060604,170501060605,Downstream
170501060405,170501060604,Downstream
170501030802,170501030805,Downstream
170501030803,170501030804,Downstream
170501030804,170501030805,Downstream
170501030805,170501030902,Downstream
170501030903,170501030904,Downstream
170501030906,170501030907,Downstream
170501030907,170501031102,Downstream
170501031001,170501031002,Downstream
170501031002,170501031003,Downstream
170501031102,170501031103,Downstream
170501031103,170501150102,Downstream
170501050907,170501050908,Downstream
170501160201,170501160203,Downstream
170501160202,170501160203,Downstream
170501160203,170501160205,Downstream
170501160204,170501160205,Downstream
170501160205,170501160502,Downstream
170501160301,170501160302,Downstream
170501160302,170501160303,Downstream
170501160303,170501160502,Downstream
170501160401,170501160403,Downstream
170501160402,170501160403,Downstream
170501160403,170501160404,Downstream
170501160404,170501160504,Downstream
170501160501,170501160502,Downstream
170501160502,170501160504,Downstream
170501160503,170501160504,Downstream
170501160504,170501160701,Downstream
170501160601,170501160602,Downstream
170501160602,170501160604,Downstream
170501160603,170501160604,Downstream
170501160604,170501160701,Downstream
170501160701,170501160702,Downstream
170501160702,170501160703,Downstream
170501160703,170501160705,Downstream
170501161007,170501161008,Downstream
170501161008,170501161401,Downstream
170501161101,170501161102,Downstream
170501161102,170501161105,Downstream
170501161103,170501161105,Downstream
170501161104,170501161105,Downstream
170501161105,170501161303,Downstream
170501161201,170501161204,Downstream
170501161202,170501161204,Downstream
170501161203,170501161204,Downstream
170501161204,170501161303,Downstream
170501161301,170501161302,Downstream
170501161302,170501161305,Downstream
170501161303,170501161305,Downstream
170501161304,170501161305,Downstream
170501161305,170501161406,Downstream
170501161401,170501161403,Downstream
170501161402,170501161403,Downstream
170501161403,170501161406,Downstream
170501180104,170501180105,Downstream
170501180105,170501180106,Downstream
170501180106,170501180302,Downstream
170501180201,170501180203,Downstream
170501180202,170501180203,Downstream
170501180203,170501180204,Downstream
170501180204,170501180302,Downstream
170501180301,170501180302,Downstream
170501180302,170501180304,Downstream
170501180303,170501180304,Downstream
170501180304,170501170601,Downstream
170501190101,170501190102,Downstream
170501190102,170501190201,Downstream
170501190201,170501190203,Downstream
170501190202,170501190203,Downstream
170501190203,170501190204,Downstream
170501190204,170501190401,Downstream
170501190301,170501190302,Downstream
170501190302,170501190401,Downstream
170501190401,170501190402,Downstream
170501190402,170501190403,Downstream
170501190403,170501190404,Downstream
170501190404,170501190601,Downstream
170501190501,170501190502,Downstream
