HUC_ID,name
170501080602,Posey Creek-Cow Creek
170501150102,Homestead Gulch-Snake River
170501150103,Ashlock Gulch-Snake River
170501150104,Plummer Slough-Snake River
170501150204,Buttermilk Gulch-Snake River
170502010106,Bridge Gulch-Snake River
170502010201,Road Gulch-Snake River
170502010301,Ryan Gulch-Snake River
170502010303,Morgan Creek-Snake River
170502010304,Dennett Creek-Snake River
170502010306,Raft Creek-Snake River
170502010307,Jackson Gulch-Snake River
170502010401,Cottonwood Creek-Snake River
170502010403,Dukes Creek-Snake River
170502010701,Oxbow Dam-Snake River
170501040101,Delaware Creek-Owyhee River
170501161404,Bull Canyon
170501161405,Butte Creek
170501161406,Cedar Creek-Malheur River
170501170101,Hunter Creek
170501170102,Juniper Gulch-Malheur River
170501170103,Calf Creek
170501170104,Black Canyon-Malheur River
170501170105,Gold Creek-Malheur River
170501170201,Hog Creek
170501170202,Miller Creek-Malheur River
170501170203,Squaw Creek
170501170204,Corbett Creek-Malheur River
170501170205,Willow Spring Creek
170501170206,Harper Valley-Malheur River
170501170301,Headwaters Cottonwood Creek
170501170302,Upper Cottonwood Creek
170501170303,Middle Cottonwood Creek
170501170304,Keeney Creek
170501170305,Long Creek
170501170306,Lower Cottonwood Creek
170501170401,Hog Leg Reservoir
170501170402,Little Valley-Malheur River
170501170403,Vines Hill-Malheur River
170501170501,Upper Negro Rock Canyon
170501170502,Sagebrush Gulch
170501170503,Lower Negro Rock Canyon
170501170504,Upper Sand Hollow
170501170505,Lower Sand Hollow
170501170601,Johnson Gulch-Malheur River
170501170602,Nevada Canal-Malheur River
170501170603,Malheur River
170501180101,Headwaters Bully Creek
170501180102,South Fork Indian Creek
170501180103,Indian Creek
170502020603,Powell Creek-Burnt River
170502020701,Lawrence Creek
170502020702,Upper Alder Creek
170502020703,Lower Alder Creek
170502020704,Durkee Creek
170502020705,Pritchard Creek
170502020801,Manning Creek
170502020802,Swayze Creek-Burnt River
170502020803,Shirttail Creek-Burnt River
170502020804,Sisley Creek-Burnt River
170502020805,North Fork Dixie Creek
170502020806,South Fork Dixie Creek
170502020807,Dixie Creek
170502020808,Jett Creek-Burnt River
170502020809,Durbin Creek-Burnt River
170502030101,Cracker Creek
170502030102,McCully Creek
170502030103,Hawley Gulch-Powder River
170502030104,Clear Creek-Powder River
170502030105,Deer Creek
170502030106,Union Creek-Powder River
170502030201,Lake Creek-Powder River
170502030202,Stices Gulch-Powder River
170502030203,Beaver Creek
170502030204,Elk Creek
170502030205,Ebell Creek
170502030206,Sutton Creek
170502030207,Blue Canyon-Powder River
170502030301,Upper Baldock Slough
170502030302,Lower Baldock Slough
170502030303,Old Settlers Slough
170502030304,Estes Slough-Powder River
170502030401,Upper Salmon Creek
170502030402,Lower Salmon Creek
170502030403,Willow Creek
170502030404,Rock Creek
170502030405,Big Muddy Creek
170502030406,Sand Creek-Powder River
170502030407,Warm Springs Creek
170502030408,Gentry Creek-Powder River
170502030501,Upper North Powder River
170502030502,Middle North Powder River
170502030503,Upper Anthony Creek
170502030504,Lower Anthony Creek
170502030505,Lower North Powder River
170502030601,Upper Wolf Creek
170502030602,Lower Wolf Creek
170502030603,Jimmy Creek
170502030604,Antelope Creek
170502030605,Thief Valley Reservoir-Powder River
170502030606,Magpie Creek-Powder River
170502030701,Upper Big Creek
170502030702,Middle Big Creek
170502030703,Beagle Creek
170501040102,Deep Creek
170501040201,Badger Creek-Owyhee River
170501040202,Trail Creek
170501040203,Cold Springs Creek-Owyhee River
170501040302,Mill Creek-Owyhee River
170501040304,Fawn Creek-Owyhee River
170501050101,Indian Creek
170501050102,Pleasant Valley Creek
170501050103,Upper McCann Creek
170501050104,Lower McCann Creek-South Fork Owyhee River
170501050105,Upper Taylors Canyon Creek
170501050106,Burns Creek
170501050107,Lower Taylors Canyon Creek-South Fork Owyhee River
170501050201,Upper Harrington Creek
170501050202,Lower Harrington Creek
170501050203,Hot Creek
170501050204,Niagara Creek-South Fork Owyhee River
170501050301,Big Cottonwood Canyon
170501050302,Red Cow Creek
170501050303,Skull Creek-South Fork Owyhee River
170501050401,Ott Creek-Deep Creek
170501050402,Chicken Creek-Deep Creek
170501050403,Long Hollow-Deep Creek
170501050404,Sulpher Creek
170501050405,Amazon Creek-South Fork Owyhee River
170501050406,V N Pocket-South Fork Owyhee River
170501050501,Wilson Creek
170501050502,Cap Winn Creek
170501050503,Columbia Creek
170501050504,Frost Creek
170501050505,Breakneck Creek
170501050506,Mitchell Creek
170501050507,Dry Creek
170501050508,Spring Creek-Bull Run Creek
170501050509,Rawhide Reservoir-South Fork Owyhee River
170501050601,Upper Sheep Creek
170501050603,Upper Circle Creek
170501050604,Lower Circle Creek
170501050605,Lower Sheep Creek
170501050701,Winters Creek
170501050702,Threemile Creek
170501050703,Upper Chimney Creek
170501050704,170501050704
170501050705,Lower Chimney Creek
170501050706,Upper Fourmile Creek
170501050707,Lower Fourmile Creek
170501050801,170501050801
170501050802,Four Mile Well-South Fork Owyhee River
170501050803,Twelvemile Flat
170501050804,170501050804
170501050805,Y P Desert-South Fork Owyhee River
170501060101,Silver Lake
170501060102,Corral Lake
170501060201,Button Lake
170501060202,Headwaters Lake Creek
170501060203,170501060203
170501060204,Owyhee Desert
170501060205,Upper Lake Creek
170501060206,Corral Lake Butte
170501060207,Middle Lake Creek
170501060208,Lower Lake Creek
170501060301,Upper Raven Creek
170502030704,Lower Big Creek
170502030801,Salt Creek-Powder River
170502030802,Crews Creek
170502030803,Tucker Creek-Powder River
170502030804,Ruckles Creek
170502030805,Balm Creek
170502030806,Clover Creek-Powder River
170502030807,Goose Creek
170502030808,Ritter Creek-Powder River
170502030901,Love Creek
170502030902,Fivemile Creek-Powder River
170502030903,Maiden Gulch-Powder River
170502030904,Hyall Gulch-Powder River
170502030905,Chalk Creek-Powder River
170502031001,Headwaters Eagle Creek
170502031002,West Eagle Creek
170502031003,Bennett Creek-Eagle Creek
170502031004,East Fork Eagle Creek
170502031005,Paddy Creek-Eagle Creek
170502031006,Little Eagle Creek
170502031007,Lower Eagle Creek
170502031101,Daly Creek
170502031102,Immigrant Gulch-Powder River
170502031103,Foster Gulch-Powder River
170501060501,Upper Tent Creek
170502010206,Grouse Creek-Snake River
170502010205,Benson Creek
170601020101,North Fork Imnaha River
170601020102,South Fork Imnaha River
170601020103,Rock Creek-Imnaha River
170601020104,Dry Creek-Imnaha River
170601020105,Gumboot Creek
170601020301,Salt Creek-Big Sheep Creek
170601020302,Lick Creek
170601020303,Tyee Creek-Big Sheep Creek
170601020304,Carrol Creek-Big Sheep Creek
170601020401,Upper Little Sheep Creek
170601020402,Middle Little Sheep Creek
170601040101,Tanner Gulch-Grande Ronde River
170601040102,Limber Jim Creek
170601040103,Meadowbrook Creek-Grande Ronde River
170601040104,Chicken Creek
170601040105,Sheep Creek
170601040106,Little Fly Creek
170601050106,Hurricane Creek
170601050107,Trout Creek
170601050108,Spring Creek
170601050109,Wallowa Lake-Wallowa River
170601050201,Headwaters Lostine River
170601050202,Lake Creek-Lostine River
170601050203,Silver Creek-Lostine River
170601050204,Outlet Lostine River
170601050301,Parsnip Creek
170601050302,Wade Gulch-Wallowa River
170601050303,Upper Whisky Creek
170601050304,South Fork Whisky Creek
170601050305,Lower Whisky Creek
170601050306,Spring Branch-Wallowa River
170601050401,Upper Bear Creek
170601050402,Lower Bear Creek
170601050501,Headwaters Minam River
170601050502,China Cap Creek-Minam River
170601050503,North Minam River
170601050504,Chaparral Creek-Minam River
170601050505,Little Minam River
170601050506,Trout Creek-Minam River
170601050507,Gunderson Creek-Minam River
170601050601,Upper Dry Creek
170601050602,Lower Dry Creek
170601050603,Deer Creek
170601050604,Water Canyon-Wallowa River
170601050605,Howard Creek
170601050606,Fisher Creek-Wallowa River
170601060101,Sheep Creek
170601060102,Clear Creek-Grande Ronde River
170601060103,Elbow Creek
170601060104,Grossman Creek
170601060105,Bear Creek-Grande Ronde River
170601060106,Sickfoot Creek-Grande Ronde River
170601060201,Wallupa Creek
170601060202,Wildcat Creek
170601060203,Upper Mud Creek
170601060204,Middle Mud Creek
170601060205,Tope Creek
170601060206,Buck Creek
170601060207,Lower Mud Creek
170601060208,Upper Courtney Creek
170601060209,Lower Courtney Creek
170601060210,Colpitts Spring-Grande Ronde River
170601060302,Lower South Fork Wenaha River
170601060312,Dry Gulch-Wenaha River
170601060501,Upper Crow Creek
170601060502,Elk Creek
170601060503,Lower Crow Creek
170601060504,Sumac Creek-Joseph Creek
170601060505,Upper Swamp Creek
170601060506,Davis Creek
170601060507,Lower Swamp Creek
170601060508,Cougar Creek-Joseph Creek
170601060601,Peavine Creek-Joseph Creek
170601060602,Rush Creek-Joseph Creek
170601070506,Dry Hollow-Pataha Creek
170601070601,Headwaters Tucannon River
170601070602,Panjab Creek
170601070603,Little Tucannon River-Tucannon River
170601070604,Cummings Creek
170601070605,Tumalum Creek
170601070606,Hartsock Grade-Tucannon River
170601070607,Willow Creek
170601070608,Town of Marengo-Tucannon River
170601070701,Smith Hollow-Tucannon River
170601070702,Kellogg Creek
170601070703,Town of Starbuck-Tucannon River
170601070704,Tucannon River
170601070802,Long Hollow-Snake River
170601070803,Penawawa Creek
170601070804,Town of Central Ferry-Snake River
170601070805,New York Gulch
170601070806,Dry Gulch
170601070807,Flagpole Gulch-Snake River
170601070808,Choke Cherry Spring-Snake River
170601080406,Frog Creek-Union Flat Creek
170601080407,170601080407-Union Flat Creek
170601080408,170601080408-Union Flat Creek
170601080409,Cougar Canyon-Union Flat Creek
170601080502,Lower Rebel Flat Creek
170601080505,Cherry Creek-Palouse River
170601080506,Rattlesnake Canyon-Palouse River
170601080707,Kennedy Lake-Cow Creek
170601080801,Upper Willow Creek
170601080802,Lower Willow Creek
170601080803,Town of Hooper-Palouse Lake
170601080804,Palouse Falls-Palouse River
170601080805,Winn Lake Canyon
170601080806,Palouse River
170601040107,Upper Fly Creek
170601040108,Lower Fly Creek
170601040109,Warm Spring Creek-Grande Ronde River
170601040201,Upper Meadow Creek
170601040202,Middle Meadow Creek
170601040203,Upper McCoy Creek
170601040204,Lower McCoy Creek
170601040205,Dark Canyon Creek
170601040206,Lower Meadow Creek
170601040301,Upper Beaver Creek
170601040302,Lower Beaver Creek
170601040303,Jordan Creek
170601040304,Spring Creek
170601040305,Whiskey Creek
170601040306,Rock Creek
170601040307,Coleman Ridge-Grande Ronde River
170601040401,Upper Five Points Creek
170601040402,Pelican Creek
170601040403,Lower Five Points Creek
170601040404,Haywire Canyon-Grande Ronde River
170601040405,Wright Slough-Grande Ronde River
170601040501,North Fork Catherine Creek
170601040502,South Fork Catherine Creek
170601040503,Milk Creek-Catherine Creek
170601040504,Little Catherine Creek
170601040505,Pyles Creek
170601040506,Little Creek
170601040507,Brinker Creek-Catherine Creek
170601040601,Upper Ladd Creek
170601040602,Ladd Canyon
170601040603,Gekeler Slough
170601040604,Lower Ladd Creek
170601040701,Phys Slough
170601040702,Mill Creek
170601040703,Spring Slough-Grande Ronde River
170601040704,McAllister Slough-Catherine Creek
170601040705,Conley Lake-Grande Ronde River
170601040706,Gasset Bluff-Grande Ronde River
170601040801,Dry Creek
170601040802,Upper Willow Creek
170601040803,End Creek
170601040804,Lower Willow Creek
170601040901,Upper Indian Creek
170601040902,Lower Indian Creek
170601040903,North Fork Clark Creek
170601040904,Clark Creek
170601040905,Arnoldus Loop Reservoir-Grande Ronde River
170601041001,Upper Lookingglass Creek
170601041002,Little Lookingglass Creek
170601041003,Jarboe Creek
170601041004,Lower Lookingglass Creek
170601041101,Phillips Creek
