FID_Tribal,HUC12
22,170300020308
22,170300020309
22,170300020310
22,170300020311
22,170300020312
22,170300030101
22,170300030102
22,170300030103
22,170300030104
22,170300030105
22,170300030203
22,170300030204
22,170300030205
22,170300030206
22,170300030301
22,170200120305
22,170200120306
22,170200120307
22,170200120401
22,170200120402
22,170200120403
22,170200120404
22,170200120405
22,170200120406
22,170200130806
22,170200140105
22,170200140107
22,170200140108
22,170200140201
22,170200140202
22,170200140203
22,170200140204
22,170200050301
22,170200050302
22,170200050303
22,170200050304
22,170200050305
22,170200050306
22,170200050308
22,170200050309
22,170200050506
22,170200050507
22,170200140303
22,170200140304
22,170200140305
22,170200150103
22,170200150301
22,170200150302
22,170200150401
22,170200150402
22,170200150403
22,170200150404
22,170200150405
22,170200150406
22,170200150501
22,170200150502
22,170200150503
22,170200150504
22,170200150505
22,170200150506
22,170200150507
22,170200150601
22,170200150602
22,170200150603
22,170200150604
22,170200150605
22,170200150606
22,170200150607
22,170200150802
22,170200150803
22,170200150804
22,170200150806
22,170200150807
22,170200150808
22,170200150809
22,170200150810
22,170200150811
22,170200150812
22,170200150813
22,170200150901
22,170200150902
22,170200150903
22,170200150904
22,170200151001
22,170200151002
22,170200151003
22,170200151004
22,170200151005
22,170200151006
22,170200151007
22,170200151008
22,170200151009
22,170200151010
22,170200151011
22,170200151012
22,170200160101
22,170200160102
22,170200160103
22,170200160104
22,170200160105
22,170200160106
22,170200160107
22,170200160201
22,170200160301
22,170200160302
22,170200160303
22,171100060102
22,171100060104
22,171100060201
22,171100060202
22,171100090101
22,171100090102
22,171100090103
22,171100090201
22,170701060101
22,170701060102
22,170701060103
22,171100100201
22,171100100301
22,171100130101
22,171100130102
22,171100130103
22,171100140301
22,171100140305
22,171100140306
22,171100140307
22,170800040101
22,170800040102
22,170800040103
22,170800040104
22,170800040201
22,170800040202
22,170800040203
22,170800040204
22,170800040205
22,170800040206
22,170800040301
22,170800040302
22,170800040304
22,170800040306
22,170800040307
22,170800040308
22,170800040309
22,170800040401
22,170800040402
22,170800040403
22,170800040501
22,170800040503
24,170200011303
24,170200011304
24,170200011305
24,170200011307
24,170200011308
24,170200011309
24,170200011501
24,170200011504
24,170200011505
24,170200011507
24,170200011604
24,170200011701
24,170200011702
24,170200011703
24,170200011704
24,170200022004
24,170200030103
24,170200030401
24,170103070107
24,170103070201
24,170103070303
24,170103070305
24,170103070307
24,170103070403
24,170102160905
24,170102161003
24,170102161004
24,170200011107
24,170200011201
24,170200011202
24,170200011001
24,170200011002
24,170200011003
24,170200011004
24,170200011005
24,170200011203
24,170200011204
24,170200011206
24,170200011207
24,170200011208
24,170200011209
24,170200030101
24,170200030102
24,170200030104
24,170200030105
24,170200030106
24,170200030107
24,170200030108
24,170200030109
24,170200030110
24,170200030201
24,170200030202
24,170200030203
24,170200030204
24,170200030205
24,170200030206
24,170200030301
24,170200030302
24,170200030303
24,170200030304
24,170200030402
24,170200030403
24,170200030404
24,170200030405
24,170200030406
24,170102160101
24,170102160102
24,170102160103
24,170102160104
24,170102160202
24,170102160203
24,170102160205
24,170102160206
24,170102160207
24,170102160301
24,170102160302
24,170102160303
24,170102160304
24,170102160305
24,170102160306
24,170102160307
24,170102160901
24,170102160902
24,170102160904
24,170103050402
24,170103070105
24,170103070106
24,170102140501
24,170102140502
24,170102160201
24,170103050303
24,170103050305
24,170103050306
24,170103080102
24,170103070202
24,170103070203
24,170103070204
24,170103080101
24,170103080103
24,170103080104
24,170103080105
24,170103080106
24,170103080107
24,170103080108
24,170103080201
24,170103080202
24,170103080203
24,170103080301
24,170103080302
24,170103080303
24,170103080304
24,170103080305
24,170103080306
50,170701051201
50,170701051106
50,170701051202
50,170701051204
50,170701050901
50,170701050902
50,170701051001
50,170701051002
50,170701051003
50,170701051004
50,170701051005
50,170701051006
50,170701051007
50,170701051008
50,170701051203
50,170800010802
50,170800010803
50,170800010804
50,170800010601
50,170800010602
50,170800010603
50,170800010604
50,170800010605
50,170800010606
50,170800010801
50,170800030101
50,170800030103
50,170800020504
50,170800020503
50,170800030102
50,170800030200
50,170800030105
50,170800020501
50,170800020502
50,170800020505
50,170800020506
50,170800020507
50,170800020602
50,170800020605
50,170800020402
50,170800020606
50,170800020404
50,170800030306
50,170800020403
50,170800020303
50,170800020604
50,170800020110
50,170800020405
50,170800020302
50,170800030305
50,170800020109
50,170800020305
50,170800020111
50,170800020107
50,170800030304
50,170800030303
50,170800030302
50,170800020401
50,170800020304
50,170800020301
50,170800030301
50,170800020205
50,170800020108
50,170800020104
50,170800020204
50,170800020106
50,170800030900
50,170800020105
50,170800020601
50,170800020603
50,170800030104
50,171001060502
50,171001060503
50,171001060505
50,171001060506
50,171001060702
50,171100150102
50,171100150104
50,171100150106
50,171100150107
50,171100150108
50,171100150109
50,171100150111
50,171100150112
50,171100160101
50,170800060500
50,170800040103
50,170800040203
50,170800040204
50,170800040206
50,170800040308
50,170800040309
50,170800040401
50,170800040402
50,170800040403
50,170800040404
50,170800040405
50,170800040406
50,170800040407
50,170800040408
50,170800040502
50,170800040503
50,170800040504
50,170800040505
50,170800040506
50,170800040507
50,170800040508
50,170800050101
50,170800050102
50,170800050103
50,170800050104
50,170800050105
50,170800050106
50,170800050201
50,170800050202
50,170800050203
50,170800050204
50,170800050205
50,170800050206
50,170800050301
50,170800050302
50,170800050303
50,170800050304
50,170800050305
50,170800050306
50,170800050401
50,170800050402
50,170800050403
50,170800050404
50,170800050501
50,170800050502
50,170800050503
50,170800050504
50,170800050505
50,170800050601
50,170800050602
50,170800050603
50,170800050604
50,170800050605
50,170800050701
50,170800050702
50,170800050801
50,170800050802
50,170800050803
50,170800050804
50,170800050901
50,170800050902
50,170800050903
50,170800050904
50,170800050905
50,170800050906
50,170800060301
50,170800060302
50,170800060303
50,170800060304
50,170800060401
50,170800060402
50,170800060403
50,170800030307
50,170800030602
50,170800030704
50,170800020201
50,170800030601
50,170800030705
50,170800020203
50,170800030605
50,170800030702
50,170800020202
50,170800030604
50,170800030603
50,170800030703
50,170800030701
50,171001030101
50,171001030102
50,171001030106
50,171001030107
50,171001030110
50,171001030201
50,171001030202
50,171001030205
50,171001030206
50,171001030301
50,171001060301
50,171001060302
50,171001060501
19,170200070101
27,170200070101
19,170200070102
27,170200070102
19,170200070103
27,170200070103
19,170200070106
27,170200070106
19,170200070202
27,170200070202
19,170200070203
