SPECIES,HUC12,FREQUENCY,Habitat_Miles
Brook trout,170102051505,6,10
Brook trout,170102051506,7,19
Brook trout,170102051507,7,18
Brook trout,170102051508,4,13
Brook trout,170102051601,8,18
Brook trout,170102051602,14,10
Brook trout,170102051603,3,13
Brook trout,170102060607,1,1
Brook trout,170102070301,8,21
Brook trout,170102070303,1,4
Brook trout,170102070305,2,6
Brook trout,170102070306,3,19
Brook trout,170102070307,2,1
Brook trout,170102070401,1,1
Brook trout,170102070402,3,13
Brook trout,170102070403,2,8
Brook trout,170102070404,4,17
Brook trout,170102070405,6,10
Brook trout,170102070501,1,6
Brook trout,170102070502,3,14
Brook trout,170102070503,1,1
Brook trout,170102070504,5,12
Brook trout,170102070505,2,3
Brook trout,170102080102,1,2
Brook trout,170102080103,4,12
Brook trout,170102080104,4,19
Brook trout,170102080105,7,9
Brook trout,170102080106,2,9
Brook trout,170102080107,3,19
Brook trout,170102080108,5,33
Brook trout,170102080201,5,13
Brook trout,170102080202,1,6
Brook trout,170102080203,5,7
Brook trout,170102080204,4,28
Brook trout,170102080205,3,5
Brook trout,170102080207,3,3
Brook trout,170102080208,5,15
Brook trout,170102080302,1,7
Brook trout,170102080303,1,4
Brook trout,170102080304,3,13
Brook trout,170102080305,2,2
Brook trout,170102080306,1,0
Brook trout,170102080501,3,0
Brook trout,170102100101,4,16
Brook trout,170102100102,10,30
Brook trout,170102100103,12,16
Brook trout,170102100104,1,2
Brook trout,170102100105,4,10
Brook trout,170102100106,2,5
Brook trout,170102100107,8,13
Brook trout,170102100202,3,6
Brook trout,170102100203,9,21
Brook trout,170102100204,8,29
Brook trout,170102100301,2,9
Brook trout,170102100302,4,9
Brook trout,170102100303,12,30
Brook trout,170102100304,7,20
Brook trout,170102100305,6,23
Brook trout,170102100306,10,23
Brook trout,170102100307,2,7
Brook trout,170102100308,7,10
Brook trout,170102100401,2,24
Brook trout,170102100402,2,16
Brook trout,170102100403,4,26
Brook trout,170102100501,7,10
Brook trout,170102100502,3,6
Brook trout,170102100503,4,10
Brook trout,170102100504,3,14
Brook trout,170102100505,11,30
Brook trout,170102100506,4,4
Brook trout,170102100507,1,7
Brook trout,170102100508,7,18
Brook trout,170102100509,1,18
Brook trout,170102110101,6,12
Brook trout,170102110102,4,4
Brook trout,170102110103,7,8
Brook trout,170102110104,10,17
Brook trout,170102110105,3,10
Brook trout,170102110106,9,24
Brook trout,170102110201,4,11
Brook trout,170102110202,10,15
Brook trout,170102110203,12,18
Brook trout,170102110204,6,11
Brook trout,170102110205,13,25
Brook trout,170102110206,5,14
Brook trout,170102110207,9,13
Brook trout,170102110301,1,6
Brook trout,170102110302,2,6
Brook trout,170102110303,8,17
Brook trout,170102110304,5,7
Brook trout,170102110305,6,7
Brook trout,170102110306,7,16
Brook trout,170102110307,17,33
Brook trout,170102110308,10,17
Brook trout,170102110401,11,12
Brook trout,170102110402,12,39
Brook trout,170102120101,1,0
Brook trout,170102120102,3,12
Brook trout,170102120103,2,8
Brook trout,170102120104,7,28
Brook trout,170102120106,1,5
Brook trout,170102120503,3,8
Brook trout,170102130101,3,5
Brook trout,170102130102,6,11
Brook trout,170102130103,3,11
Brook trout,170102130104,3,7
Brook trout,170102130105,10,17
Brook trout,170102130201,4,6
Brook trout,170102130202,1,6
Brook trout,170102130203,3,4
Brook trout,170102130204,2,4
Brook trout,170102130205,13,23
